Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Hoxd12		HoxD12	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Hoxd12	hoxd12a	hoxd12a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxd12	hoxd12a	hoxd12a (Sordino et al., 1995) as per ZFIN	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Coates, 1995)
hoxd12a	hoxd12a	Hox D (cluster)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Hinchliffe, 2002)  
Hoxd12a	hoxd12a	Hoxd-12 (hoxd12a for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Hoxd12a	hoxd12a	Hoxd-12 (Hoxd12a as per (ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
Hoxd13		Hoxd13	chick	Sarcopterygii: Aves	in situ	whole mount (Nelson et al., 1996)	3	(Abbasi, 2011)
Hoxd13		Hox D 13	chick	Sarcopterygii: Aves	in situ	(Goff and Tabin, 1997; Zakany et al., 1997)	3	(Hinchliffe, 2002)  
Hoxd13		HoxD13	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Davis, 2013) 
Hoxd13		Hoxd13	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	Quantitative PCR analysis	3	(Sakamoto et al., 2009)
Hoxd13		Hoxd-13	human	Sarcopterygii: Mammalia	natural mutation	SPD, or type II syndactyly	1	(Kondo et al., 1998)
Hoxd13		Hoxd13	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2006) 
Hoxd13		Hoxd13	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
Hoxd13		Hoxd13	lungfish (Neoceratodus)	Sarcopterygii: Lungfish	in situ		3	(Johanson et al., 2007)
Hoxd13		hoxd13	lungfish (Neoceratodus)	Sarcopterygii: Lungfish	in situ	(Johanson et al., 2007)	3	(Yano and Tamura, 2013)
Hoxd13		Hoxd13	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd13		Evx2	mouse	Sarcopterygii: Mammalia	in situ	(Spitz et al., 2003)	3	(Davis, 2013) 
Hoxd13		HoxD13	mouse	Sarcopterygii: Mammalia	in situ	(Spitz et al., 2003)	3	(Davis, 2013) 
Hoxd13		Hox D 13	mouse	Sarcopterygii: Mammalia	in situ	(Goff and Tabin, 1997; Zakany et al., 1997)	3	(Hinchliffe, 2002)  
Hoxd13		Hoxd-13	mouse	Sarcopterygii: Mammalia	knockout	(Dolle et al., 1993)	1	(Kondo et al., 1998)
Hoxd13		Hoxd13	mouse	Sarcopterygii: Mammalia	knockout	(Dolle et al., 1993)	1	(Richardson et al., 2009)
Hoxd13		Hoxd13	mouse	Sarcopterygii: Mammalia	in situ	(Galli et al., 2010)	3	(Zeller, 2010)
Hoxd13		HoxD13	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	in situ		3	(Davis, 2013) 
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	overexpression		2	(Freitas et al., 2012)
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	knockdown	hoxd13a MO	2	(Sakamoto et al., 2009)
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR analysis	3	(Sakamoto et al., 2009)
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Sakamoto et al., 2009)
Hoxd13	hoxd13a	Hoxd-13 (hoxd13a for (Sordino and Duboule, 1996) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Sordino and Duboule, 1996)
Hoxd13	hoxd13a	hoxd13a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Zhang et al., 2010)
hoxd13a	hoxd13a	Hox D (cluster)	zebrafish	Actinopterygii: Teleostei	in situ	(Sordino et al., 1995)	3	(Hinchliffe, 2002)  
Hoxd13a	hoxd13a	Hoxd-13 (Hoxd13a as per (ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Sordino et al., 1995) 
Hoxd3		Hoxd3	mouse	Sarcopterygii: Mammalia	in situ	(Zakany et al., 2004)	3	(Abbasi, 2011)
Hoxd3, Hoxd4, Hoxd9, Hoxd10, hoxd11a, Hoxd12		hoxDa (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	comparison of genomic organization	4	(Takamatsu et al., 2007) 
Hoxd3, Hoxd4, Hoxd9, Hoxd10, hoxd11a, Hoxd12		hoxDa (cluster)	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
Hoxd4		HoxD4	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		Hoxd4	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd4		HoxD4	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4		HoxD4	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4		HoxD4	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd4	hoxd4	HoxD4	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd4	hoxd4	HoxD4	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd8		Hoxd8	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd9		HoxD9	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	bichir (Polypterus senegalus)	Actinopterygii: Polypterus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		Hoxd9	chick	Sarcopterygii: Aves	in situ	whole mount (Nelson et al., 1996)	3	(Abbasi, 2011)
Hoxd9		hoxd9	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Ahn and Ho, 2008) 
Hoxd9		Hoxd9	chick	Sarcopterygii: Aves	in situ		3	(Don et al., 2013)
Hoxd9		Hoxd9	chick	Sarcopterygii: Aves	in situ	(Cohn et al., 1997)	3	(Nuno de la Rosa et al., 2014)
Hoxd9		Hoxd9	chick	Sarcopterygii: Aves	in situ	whole mount (Cohn et al., 1997)	3	(Tanaka et al., 2005) 
Hoxd9		HoxD9	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	coelacanth (Latimeria chalumnae)	Sarcopterygii: Coelacanth	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		HoxD9	horn shark (Heterodontus francisci)	Elasmobranchii	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	horn shark (Heterodontus francisci)	Elasmobranchii	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		Hoxd9	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2006) 
Hoxd9		Hoxd9	lesser spotted catshark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole mount	3	(Freitas et al., 2007) 
Hoxd9		HoxD9	medaka (Oryzias latipes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		Hoxd9	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Tarchini and Duboule, 2006)	3	(Abbasi, 2011)
Hoxd9		Hoxd-9	mouse	Sarcopterygii: Mammalia	knockout	(Fromental-Ramain et al., 1996)	1	(Kondo et al., 1998)
Hoxd9		HoxD9	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	paddlefish (Polyodon spathula)	Actinopterygii: Acipenseriformes	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		HoxD9	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		Hoxd9	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	knockdown	(Tanaka et al., 2005)	2	(Don et al., 2013)
Hoxd9		Hoxd9a	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Hoxd9		HoxD9	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	spotted gar (Lepisosteus oculatus)	Actinopterygii: Lepisosteus	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		HoxD9	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9		Hoxd9	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ		3	(Don et al., 2013)
Hoxd9		Hoxd9a	stickleback (Gasterosteus aculeatus)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Hoxd9		HoxD9	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9		HoxD9	tilapia (Astatotilapia burtoni)	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9	hoxd9a	hoxd9a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Hoxd9	hoxd9a	HoxD9 (hoxd9a in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Crow et al., 2012)
Hoxd9	hoxd9a	HoxD9 (hoxd9a in (Crow et al., 2012) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment	4	(Crow et al., 2012)
Hoxd9	hoxd9a	Hoxd9a	zebrafish	Actinopterygii: Teleostei	in situ	(Cohn et al., 1997)	3	(Don et al., 2013)
Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD9-13 (cluster)	chick	Sarcopterygii: Aves	in situ	(Nelson et al., 1996)	3	(Wagner and Chiu, 2001)  
Hoxd9, Hoxd10, hoxd11a, Hoxd12, Hoxd13		HoxD9-13 (cluster)	mouse	Sarcopterygii: Mammalia	in situ	(Nelson et al., 1996)	3	(Wagner and Chiu, 2001)  
Irx1		cIrx1	chick	Sarcopterygii: Aves	in situ	section in situ	3	(McDonald et al., 2010)
Irx1		cIrx1	chick	Sarcopterygii: Aves	in situ	whole mount	3	(McDonald et al., 2010)
Irx1		hIrx1	human	Sarcopterygii: Mammalia	in situ	section in situ, human tissue	3	(McDonald et al., 2010)
Irx1		mIrx1	mouse	Sarcopterygii: Mammalia	in situ	section in situ	3	(McDonald et al., 2010)
Irx1		mIrx1	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Irx1		mIrx1	mouse	Sarcopterygii: Mammalia	in situ	whole mount in situ (Zulch et al., 2001)	3	(McDonald et al., 2010)
Irx1	zIrx1a	zIrx1a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1	zIrx1a	zIrx1a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	chick	Sarcopterygii: Aves	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	cow (Bos taurus)	Sarcopterygii: Mammalia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	dog (Canis familiaris)	Sarcopterygii: Mammalia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	rat	Sarcopterygii: Mammalia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx1, Irx2, Irx3, Irx4, Irx5, Irx5b, Irx6		Irx (family)	Xenopus	Sarcopterygii: Amphibia	phylogenetic analysis		4	(McDonald et al., 2010)
Irx2		cIrx2	chick	Sarcopterygii: Aves	in situ	whole mount	3	(McDonald et al., 2010)
Irx2		mIrx2	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Irx2		mIrx2	mouse	Sarcopterygii: Mammalia	in situ	whole mount in situ (Zulch et al., 2001)	3	(McDonald et al., 2010)
Irx2	zIrx2a	zIrx2a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx2	zIrx2a	zIrx2a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx3		cIrx3	chick	Sarcopterygii: Aves	in situ	whole mount	3	(McDonald et al., 2010)
Irx3		mIrx3	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Irx3	zIrx3a	zIrx3a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx3	zIrx3a	zIrx3a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx4		cIrx4	chick	Sarcopterygii: Aves	in situ	whole mount	3	(McDonald et al., 2010)
Irx4		mIrx4	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Irx4	zIrx4a	zIrx4a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx4	zIrx4a	zIrx4a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx5		mIrx5	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Irx5	zIrx5a	zIrx5a	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx5	zIrx5a	zIrx5a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx5b	zIrx5b	zIrx5b	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(McDonald et al., 2010)
Irx5b	zIrx5b	zIrx5b	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(McDonald et al., 2010)
Irx6		cIrx6	chick	Sarcopterygii: Aves	in situ	whole mount	3	(McDonald et al., 2010)
Irx6		mIrx6	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(McDonald et al., 2010)
Jazf1		Jazf1	mouse	Sarcopterygii: Mammalia	sequencing		4	(Berlivet et al., 2013)
Jazf1		Jazf1	mouse	Sarcopterygii: Mammalia	in situ	(Lehoczky et al., 2004)	3	(Berlivet et al., 2013)
Lbx1		lbx1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole-mount	3	(Cole and Currie, 2007) 
Lbx1		Lbx1	elephant shark (Callorhinchus milii)	Elasmobranchii	in situ		3	(Kusakabe et al., 2011)
Lbx1		Lbx1	elephant shark (Callorhinchus milii)	Elasmobranchii	phylogenetic analysis		4	(Kusakabe et al., 2011)
Lbx1		Lbx1	mouse	Sarcopterygii: Mammalia	knockout	(Schafer and Braun, 1999)	1	(Haines and Currie, 2001) 
Lbx1		Lbx1	sea lampreyÂ (Petromyzon marinus)	Agnatha	in situ		3	(Kusakabe et al., 2011)
Lbx1		Lbx1	sea lampreyÂ (Petromyzon marinus)	Agnatha	phylogenetic analysis		4	(Kusakabe et al., 2011)
Lbx1	lbx1	Might be lbx2?	zebrafish	Actinopterygii: Teleostei	in situ	Data not credited (Fig. 1C,D)	3	(Haines and Currie, 2001)  
Lbx1	lbx2	lbx1 (lbx2 as per ZFIN for (Neyt et al., 2000) )	zebrafish	Actinopterygii: Teleostei	in situ	whole-mount in situ (Neyt et al., 2000)	3	(Cole and Currie, 2007) 
Lmo4		lmo4	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Lane et al., 2002)
Lmo4		lmo4	human	Sarcopterygii: Mammalia	sequencing	sequence  alignment of zebrafish, mouse, and human	4	(Lane et al., 2002)
Lmo4		lmo4	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Lane et al., 2002)
Lmo4		lmo4	mouse	Sarcopterygii: Mammalia	sequencing	sequence  alignment of zebrafish, mouse, and human	4	(Lane et al., 2002)
Lmo4	lmo4a	lmo4 (lmo4a for (Lane et al., 2002) according to ZFIN) 	zebrafish	Actinopterygii: Teleostei	in situ		3	(Lane et al., 2002)
Lmo4	lmo4a	lmo4 (lmo4a for (Lane et al., 2002) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Lane et al., 2002)
Lmo4	lmo4a	lmo4 (lmo4a for (Lane et al., 2002) according to ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence  alignment of zebrafish, mouse, and human	4	(Lane et al., 2002)
Lnp		Lnp	mouse	Sarcopterygii: Mammalia	in situ	(Spitz et al., 2003)	3	(Davis, 2013) 
Lnp	lnpa	lnp-a (lnpa as per ZFIN) 	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
Meis1		Meis1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Sakamoto et al., 2009)
Meis1		Meis1	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Sakamoto et al., 2009)	3	(Yano and Tamura, 2013)
Meis2		Meis2	mouse	Sarcopterygii: Mammalia	in situ	(Yashiro et al., 2004)	3	(Zeller, 2010)
Meox2		Mox2	mouse	Sarcopterygii: Mammalia	knockout		1	(Haines and Currie, 2001)  
Msx1		msx1	mouse	Sarcopterygii: Mammalia	in situ	(Muneoka and Sassoon, 1992)	3	(Sordino and Duboule, 1996)
Msx2		msx2	mouse	Sarcopterygii: Mammalia	in situ	(Muneoka and Sassoon, 1992)	3	(Sordino and Duboule, 1996)
Msx2	msx2b	Msxd (msx2b in (Camarata et al., 2010) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Msx2	msx2b	msxD (msx2b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Coates, 1995)
Msx2	msx2b	msxD (msx2b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Ruvinsky et al., 2000) 
Msx2	msx2b	msxD (msx2b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Sordino and Duboule, 1996)
msxa	msx2a	msxA (msx2a for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Coates, 1995)
msxa	msx2a	msxA (msx2a for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Ruvinsky et al., 2000) 
msxa	msx2a	msxA (msx2a for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Sordino and Duboule, 1996)
msxb	msx1b	msxB (msx1b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Coates, 1995)
msxb	msx1b	msxB (msx1b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Ruvinsky et al., 2000) 
msxb	msx1b	msxB (msx1b for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Sordino and Duboule, 1996)
Msxb	msx3	msxc (msx3 in (Camarata et al., 2010) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
msxb	msx3	msxC (msx3 for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Coates, 1995)
msxb	msx3	msxC (msx3 for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Ruvinsky et al., 2000) 
msxb	msx3	msxC (msx3 for (Akimenko et al., 1995) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Akimenko et al., 1995)	3	(Sordino and Duboule, 1996)
myod1		myoD	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole-mount	3	(Takamatsu et al., 2007) 
myod1	myod1	myoD (myod1 as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ahn and Ho, 2008) 
myod1	myod1	MyoD (myod1 as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	Data not credited (Fig. 1C,D)	3	(Haines and Currie, 2001)  
Nkx3-2		Bapx1	chick	Sarcopterygii: Aves	in situ	(Church et al., 2005)	3	(Crotwell and Mabee, 2007) 
Nkx3-2		Bapx1	mouse	Sarcopterygii: Mammalia	in situ	(Church et al., 2005)	3	(Crotwell and Mabee, 2007) 
Nkx3-2	bapx1	bapx1	zebrafish	Actinopterygii: Teleostei	in situ		3	(Crotwell and Mabee, 2007) 
Nog		noggin	chick	Sarcopterygii: Aves	in situ		3	(Crotwell and Mabee, 2007) 
Nog		noggin	mouse	Sarcopterygii: Mammalia	in situ		3	(Crotwell and Mabee, 2007) 
Nog		noggin	mouse	Sarcopterygii: Mammalia	knockout	(Brunet et al., 1998)	1	(Crotwell and Mabee, 2007) 
Nog	noggin3	noggin3	zebrafish	Actinopterygii: Teleostei	in situ		3	(Crotwell and Mabee, 2007) 
Pax1		Pax1	Amphioxus (Branchiostoma floridae)	Cephalochordata	phylogenetic analysis		4	(Liu et al., 2013)
Pax1		Pax1	Amphioxus (Branchiostoma floridae)	Cephalochordata	sequencing		4	(Liu et al., 2013)
Pax1		Pax1	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Liu et al., 2013)
Pax1		Pax1	human	Sarcopterygii: Mammalia	sequencing		4	(Liu et al., 2013)
Pax1		Pax1	mouse	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Liu et al., 2013)
Pax1		Pax1	mouse	Sarcopterygii: Mammalia	sequencing		4	(Liu et al., 2013)
Pax1		Pax1	mouse	Sarcopterygii: Mammalia	knockout	(Capellini et al., 2008)	1	(Liu et al., 2013)
Pax1		Pax1	Xenopus	Sarcopterygii: Amphibia	phylogenetic analysis		4	(Liu et al., 2013)
Pax1		Pax1	Xenopus	Sarcopterygii: Amphibia	sequencing		4	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	sequencing		4	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	in situ		3	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	knockdown		2	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	transgenics	mouse Pax1 expressed in zebrafish	1	(Liu et al., 2013)
Pax1	pax1b	Pax1b	zebrafish	Actinopterygii: Teleostei	PCR	RTqPCR	3	(Liu et al., 2013)
Pax3		Pax3	elephant shark (Callorhinchus milii)	Elasmobranchii	in situ		3	(Kusakabe et al., 2011)
Pax3		Pax3	elephant shark (Callorhinchus milii)	Elasmobranchii	phylogenetic analysis		4	(Kusakabe et al., 2011)
Pax3		Pax3	mouse	Sarcopterygii: Mammalia	in situ	(Bober et al., 1994)	3	(Haines and Currie, 2001)  
Pax3		Pax3	mouse	Sarcopterygii: Mammalia	knockdown	(Bober et al., 1994)	2	(Haines and Currie, 2001)  
Pax3		Pax3	mouse	Sarcopterygii: Mammalia	knockout	Splotchmice, a mutant strain with a defectiveÂ Pax3Â locus	1	(Kusakabe et al., 2011)
Pax3		Pax3	sea lampreyÂ (Petromyzon marinus)	Agnatha	in situ		3	(Kusakabe et al., 2011)
Pax3		Pax3	sea lampreyÂ (Petromyzon marinus)	Agnatha	phylogenetic analysis		4	(Kusakabe et al., 2011)
